,Timestamp,Data
3614,102840.28642782061,[-119.]
3615,102840.29410492083,[-122.]
3616,102840.30178202105,[-117.]
3617,102840.30945912127,[-110.]
3618,102840.31713622148,[-105.]
3619,102840.3248133217,[-100.]
3620,102840.33249042192,[-92.]
3621,102840.34016752214,[-85.]
3622,102840.34784462236,[-73.]
3623,102840.35552172258,[-63.]
3624,102840.36319882279,[-61.]
3625,102840.370875923,[-56.]
3626,102840.37855302323,[-46.]
3627,102840.38623012345,[-46.]
3628,102840.39390722367,[-44.]
3629,102840.40158432387,[-34.]
3630,102840.4092614241,[-31.]
3631,102840.41693852431,[-31.]
3632,102840.42461562454,[-29.]
3633,102840.43229272476,[-29.]
3634,102840.43996982498,[-34.]
3635,102840.44764692518,[-22.]
3636,102840.4553240254,[2.]
3637,102840.46300112562,[7.]
3638,102840.47067822584,[-12.]
3639,102840.47835532606,[-29.]
3640,102840.48603242627,[-36.]
3641,102840.49370952649,[-39.]
3642,102840.50138662671,[-41.]
3643,102840.50906372693,[-39.]
3644,102840.51674082715,[-39.]
3645,102840.52441792737,[-41.]
3646,102840.53209502758,[-36.]
3647,102840.5397721278,[-34.]
3648,102840.54744922802,[-39.]
3649,102840.55512632824,[-36.]
3650,102840.56280342846,[-29.]
3651,102840.57048052868,[-26.]
3652,102840.57815762889,[-24.]
3653,102840.5858347291,[-24.]
3654,102840.59351182933,[-34.]
3655,102840.60118892955,[-68.]
3656,102840.60886602977,[-53.]
3657,102840.61654312997,[229.]
3658,102840.6242202302,[753.]
3659,102840.63189733042,[1058.]
3660,102840.63957443064,[694.]
3661,102840.64725153086,[-29.]
3662,102840.65492863108,[-217.]
3663,102840.66260573128,[36.]
3664,102840.6702828315,[7.]
3665,102840.67795993172,[-119.]
3666,102840.68563703194,[-44.]
3667,102840.69331413216,[-7.]
3668,102840.70099123237,[-48.]
3669,102840.70866833259,[-29.]
3670,102840.71634543281,[0.]
3671,102840.72402253303,[-2.]
3672,102840.73169963325,[0.]
3673,102840.73937673347,[17.]
3674,102840.74705383368,[29.]
3675,102840.7547309339,[46.]
3676,102840.76240803412,[68.]
3677,102840.77008513434,[90.]
3678,102840.77776223456,[112.]
3679,102840.78543933478,[134.]
3680,102840.79311643499,[161.]
3681,102840.8007935352,[188.]
3682,102840.80847063543,[212.]
3683,102840.81614773565,[227.]
3684,102840.82382483587,[237.]
3685,102840.83150193607,[234.]
3686,102840.8391790363,[215.]
3687,102840.84685613652,[173.]
3688,102840.85453323674,[107.]
3689,102840.86221033696,[36.]
3690,102840.86988743718,[-17.]
3691,102840.87756453738,[-56.]
3692,102840.8852416376,[-83.]
3693,102840.89291873782,[-95.]
3694,102840.90059583804,[-100.]
3695,102840.90827293826,[-102.]
3696,102840.91595003847,[-97.]
3697,102840.92362713869,[-90.]
3698,102840.93130423891,[-80.]
3699,102840.93898133913,[-73.]
3700,102840.94665843935,[-68.]
3701,102840.95433553957,[-66.]
3702,102840.96201263978,[-61.]
3703,102840.96968974,[-53.]
3704,102840.97736684022,[-48.]
3705,102840.98504394044,[-41.]
3706,102840.99272104066,[-39.]
3707,102841.00039814087,[-36.]
3708,102841.00807524109,[-36.]
3709,102841.0157523413,[-36.]
3710,102841.02342944153,[-36.]
3711,102841.03110654175,[-36.]
3712,102841.03878364197,[-36.]
3713,102841.04646074217,[-41.]
3714,102841.0541378424,[-46.]
3715,102841.06181494262,[-46.]
3716,102841.06949204284,[-44.]
3717,102841.07716914306,[-44.]
3718,102841.08484624328,[-36.]
3719,102841.09252334348,[-14.]
3720,102841.1002004437,[7.]
3721,102841.10787754392,[2.]
3722,102841.11555464414,[-19.]
3723,102841.12323174436,[-31.]
3724,102841.13090884457,[-31.]
3725,102841.13858594479,[-36.]
3726,102841.14626304501,[-44.]
3727,102841.15394014523,[-41.]
3728,102841.16161724545,[-36.]
3729,102841.16929434567,[-36.]
3730,102841.17697144588,[-34.]
3731,102841.1846485461,[-36.]
3732,102841.19232564632,[-41.]
3733,102841.20000274654,[-41.]
3734,102841.20767984676,[-39.]
3735,102841.21535694697,[-36.]
3736,102841.22303404719,[-36.]
3737,102841.23071114741,[-36.]
3738,102841.23838824763,[-56.]
3739,102841.24606534785,[-85.]
3740,102841.25374244807,[19.]
3741,102841.26141954827,[432.]
3742,102841.2690966485,[926.]
3743,102841.27677374872,[1002.]
3744,102841.28445084894,[423.]
3745,102841.29212794916,[-195.]
3746,102841.29980504938,[-134.]
3747,102841.30748214958,[66.]
3748,102841.3151592498,[-68.]
3749,102841.32283635002,[-117.]
3750,102841.33051345024,[-26.]
3751,102841.33819055046,[-36.]
3752,102841.34586765067,[-58.]
3753,102841.35354475089,[-22.]
3754,102841.36122185111,[-4.]
3755,102841.36889895133,[-9.]
3756,102841.37657605155,[2.]
3757,102841.38425315177,[19.]
3758,102841.39193025198,[31.]
3759,102841.3996073522,[48.]
3760,102841.40728445242,[68.]
3761,102841.41496155264,[85.]
3762,102841.42263865286,[107.]
3763,102841.43031575307,[136.]
3764,102841.43799285329,[163.]
3765,102841.44566995351,[185.]
3766,102841.45334705373,[200.]
3767,102841.46102415395,[215.]
3768,102841.46870125417,[222.]
3769,102841.47637835437,[220.]
3770,102841.4840554546,[193.]
3771,102841.49173255482,[141.]
3772,102841.49940965504,[75.]
3773,102841.50708675526,[12.]
3774,102841.51476385548,[-36.]
3775,102841.52244095568,[-70.]
3776,102841.5301180559,[-92.]
3777,102841.53779515612,[-102.]
3778,102841.54547225634,[-105.]
3779,102841.55314935656,[-110.]
3780,102841.56082645677,[-112.]
3781,102841.56850355699,[-102.]
3782,102841.57618065721,[-92.]
3783,102841.58385775743,[-83.]
3784,102841.59153485765,[-80.]
3785,102841.59921195787,[-75.]
3786,102841.60688905808,[-68.]
3787,102841.6145661583,[-58.]
3788,102841.62224325852,[-51.]
3789,102841.62992035874,[-46.]
3790,102841.63759745896,[-46.]
3791,102841.64527455917,[-51.]
3792,102841.65295165939,[-48.]
3793,102841.66062875961,[-46.]
3794,102841.66830585983,[-44.]
3795,102841.67598296005,[-39.]
3796,102841.68366006027,[-39.]
3797,102841.69133716048,[-41.]
3798,102841.6990142607,[-44.]
3799,102841.70669136092,[-46.]
3800,102841.71436846114,[-41.]
3801,102841.72204556136,[-39.]
3802,102841.72972266156,[-44.]
3803,102841.73739976178,[-48.]
3804,102841.745076862,[-41.]
3805,102841.75275396222,[-39.]
3806,102841.76043106244,[-44.]
3807,102841.76810816267,[-46.]
3808,102841.77578526287,[-46.]
3809,102841.78346236309,[-44.]
3810,102841.79113946331,[-17.]
3811,102841.79881656353,[7.]
3812,102841.80649366375,[-4.]
3813,102841.81417076397,[-31.]
3814,102841.82184786418,[-39.]
3815,102841.8295249644,[-41.]
3816,102841.83720206462,[-44.]
3817,102841.84487916484,[-41.]
3818,102841.85255626506,[-39.]
3819,102841.86023336527,[-41.]
3820,102841.86791046549,[-41.]
3821,102841.87558756571,[-41.]
3822,102841.88326466593,[-44.]
3823,102841.89094176615,[-41.]
3824,102841.89861886637,[-36.]
3825,102841.90629596658,[-41.]
3826,102841.9139730668,[-44.]
3827,102841.92165016702,[-53.]
3828,102841.92932726724,[-90.]
3829,102841.93700436746,[-61.]
3830,102841.94468146766,[246.]
3831,102841.95235856788,[762.]
3832,102841.9600356681,[1034.]
3833,102841.96771276832,[665.]
3834,102841.97538986854,[-48.]
3835,102841.98306696877,[-244.]
3836,102841.99074406897,[0.]
3837,102841.99842116919,[-22.]
3838,102842.00609826941,[-144.]
3839,102842.01377536963,[-73.]
3840,102842.02145246985,[-31.]
3841,102842.02912957007,[-66.]
3842,102842.03680667028,[-56.]
3843,102842.0444837705,[-34.]
3844,102842.05216087072,[-31.]
3845,102842.05983797094,[-24.]
3846,102842.06751507116,[-9.]
3847,102842.07519217137,[2.]
3848,102842.08286927159,[17.]
3849,102842.09054637181,[41.]
3850,102842.09822347203,[66.]
3851,102842.10590057225,[88.]
3852,102842.11357767247,[110.]
3853,102842.12125477268,[134.]
3854,102842.1289318729,[156.]
3855,102842.13660897312,[178.]
3856,102842.14428607334,[202.]
3857,102842.15196317356,[215.]
3858,102842.15964027376,[207.]
3859,102842.16731737398,[193.]
3860,102842.1749944742,[158.]
3861,102842.18267157442,[92.]
3862,102842.19034867465,[17.]
3863,102842.19802577487,[-41.]
3864,102842.20570287507,[-85.]
3865,102842.21337997529,[-122.]
3866,102842.22105707551,[-132.]
3867,102842.22873417573,[-139.]
3868,102842.23641127595,[-149.]
3869,102842.24408837617,[-149.]
3870,102842.25176547638,[-144.]
3871,102842.2594425766,[-141.]
3872,102842.26711967682,[-134.]
3873,102842.27479677704,[-119.]
3874,102842.28247387726,[-105.]
3875,102842.29015097747,[-105.]
3876,102842.29782807769,[-107.]
3877,102842.30550517791,[-90.]
3878,102842.31318227813,[-78.]
3879,102842.32085937835,[-85.]
3880,102842.32853647857,[-90.]
3881,102842.33621357878,[-85.]
