Timestamp;Data
884816.430815304;118
884816.438493338;113
884816.446171373;116
884816.453849407;131
884816.461527442;126
884816.469205476;93
884816.47688351;88
884816.484561545;116
884816.492239579;134
884816.499917614;131
884816.507595648;136
884816.515273683;136
884816.522951717;126
884816.530629752;126
884816.538307786;129
884816.545985821;126
884816.553663855;121
884816.56134189;106
884816.569019924;106
884816.576697958;78
884816.584375993;103
884816.592054027;402
884816.599732062;574
884816.607410096;285
884816.615088131;250
884816.622766165;303
884816.6304442;65
884816.638122234;101
884816.645800269;172
884816.653478303;101
884816.661156338;86
884816.668834372;118
884816.676512406;101
884816.684190441;80
884816.691868475;83
884816.69954651;63
884816.707224544;35
884816.714902579;22
884816.722580613;0
884816.730258648;27
884816.737936682;45
884816.745614717;58
884816.753292751;63
884816.760970786;63
884816.76864882;43
884816.776326855;12
884816.784004889;2
884816.791682924;2
884816.799360958;30
884816.807038992;58
884816.814717027;91
884816.822395061;131
884816.830073096;146
884816.83775113;136
884816.845429165;139
884816.853107199;144
884816.860785234;131
884816.868463268;126
884816.876141302;126
884816.883819337;121
884816.891497372;118
884816.899175406;121
884816.906853441;118
884816.914531475;113
884816.922209509;106
884816.929887544;101
884816.937565578;103
884816.945243613;108
884816.952921647;98
884816.960599682;70
884816.968277716;58
884816.975955751;75
884816.983633785;103
884816.99131182;126
884816.998989854;139
884817.006667888;136
884817.014345923;129
884817.022023957;124
884817.029701992;121
884817.037380026;116
884817.045058061;113
884817.052736095;103
884817.06041413;88
884817.068092164;75
884817.075770199;7
884817.083448233;210
884817.091126268;412
884817.098804302;356
884817.106482337;50
884817.114160371;291
884817.121838405;118
884817.12951644;37
884817.137194474;131
884817.144872509;113
884817.152550543;60
884817.160228578;78
884817.167906612;86
884817.175584647;78
884817.183262681;70
884817.190940716;55
884817.19861875;32
884817.206296785;15
884817.213974819;0
884817.221652854;20
884817.229330888;43
884817.237008922;63
884817.244686957;73
884817.252364991;70
884817.260043026;53
884817.26772106;30
884817.275399095;17
884817.283077129;5
884817.290755164;12
884817.298433198;37
884817.306111233;68
884817.313789267;98
884817.321467302;113
884817.329145336;116
884817.33682337;118
884817.344501405;118
884817.352179439;121
884817.359857474;121
884817.367535508;118
884817.375213543;116
884817.382891577;111
884817.390569612;103
884817.398247646;106
884817.405925681;111
884817.413603715;103
884817.42128175;96
884817.428959784;98
884817.436637819;98
884817.444315853;93
884817.451993887;73
884817.459671922;50
884817.467349956;60
884817.475027991;91
884817.482706025;103
884817.49038406;111
884817.498062094;116
884817.505740129;106
884817.513418163;98
884817.521096198;98
884817.528774232;98
884817.536452267;96
884817.544130301;88
884817.551808336;86
884817.55948637;98
884817.567164405;53
884817.574842439;167
884817.582520473;468
884817.590198508;577
884817.597876542;217
884817.605554577;268
884817.613232611;242
884817.620910646;43
884817.62858868;118
884817.636266715;167
884817.643944749;93
884817.651622783;91
884817.659300818;108
884817.666978853;86
884817.674656887;78
884817.682334922;80
884817.690012956;55
884817.69769099;27
884817.705369025;15
884817.713047059;0
884817.720725094;22
884817.728403128;40
884817.736081163;55
884817.743759197;58
884817.751437232;50
884817.759115266;27
884817.7667933;0
884817.774471335;17
884817.782149369;27
884817.789827404;45
884817.797505438;75
884817.805183473;101
884817.812861507;118
884817.820539542;129
884817.828217576;129
884817.835895611;126
884817.843573645;121
884817.85125168;118
884817.858929714;121
884817.866607749;121
884817.874285783;113
884817.881963818;111
884817.889641852;113
884817.897319886;116
884817.904997921;113
884817.912675955;113
884817.92035399;113
884817.928032024;113
884817.935710059;111
884817.943388093;111
884817.951066128;91
884817.958744162;55
884817.966422197;50
884817.974100231;78
884817.981778266;98
884817.9894563;106
884817.997134334;116
884818.004812369;108
884818.012490403;86
884818.020168438;86
884818.027846472;108
884818.035524507;106
884818.043202541;88
884818.050880576;91
884818.05855861;118
884818.066236645;101
